year,name,frequency,gender
1917,aaron,7,M
1917,abe,5,M
1917,abie,5,M
1917,abraham,25,M
1917,abram,7,M
1917,adam,19,M
1917,adelard,6,M
1917,adrian,7,M
1917,alan,34,M
1917,albert,502,M
1917,albin,5,M
1917,alcide,5,M
1917,alex,33,M
1917,alexander,187,M
1917,alfred,276,M
1917,alfredo,5,M
1917,allan,132,M
1917,allen,51,M
1917,almer,7,M
1917,alphonse,13,M
1917,alton,8,M
1917,alvin,68,M
1917,ambrose,16,M
1917,amos,10,M
1917,andre,6,M
1917,andrew,112,M
1917,angelo,18,M
1917,angus,37,M
1917,anthony,35,M
1917,antoine,6,M
1917,antonio,21,M
1917,antony,5,M
1917,archibald,38,M
1917,archie,39,M
1917,armand,18,M
1917,arnold,76,M
1917,arthur,476,M
1917,arvo,7,M
1917,aubrey,20,M
1917,audrey,5,M
1917,augustine,5,M
1917,aurele,5,M
1917,austin,30,M
1917,basil,35,M
1917,bazil,5,M
1917,ben,5,M
1917,benedict,5,M
1917,benjamin,51,M
1917,benny,5,M
1917,bernard,91,M
1917,bert,21,M
1917,bertie,8,M
1917,bertram,21,M
1917,beverley,6,M
1917,beverly,8,M
1917,billie,9,M
1917,bobbie,5,M
1917,borden,6,M
1917,bruce,103,M
1917,bruno,6,M
1917,burton,15,M
1917,calvin,14,M
1917,cameron,19,M
1917,carl,92,M
1917,carlton,7,M
1917,carman,17,M
1917,carmen,6,M
1917,cecil,159,M
1917,charles,790,M
1917,charley,6,M
1917,charlie,15,M
1917,chester,29,M
1917,christopher,18,M
1917,clarance,15,M
1917,clare,11,M
1917,clarence,216,M
1917,claud,5,M
1917,claude,29,M
1917,clayton,43,M
1917,clement,14,M
1917,clifford,171,M
1917,clifton,9,M
1917,clinton,16,M
1917,clyde,13,M
1917,colin,14,M
1917,conrad,7,M
1917,cornelius,8,M
1917,curtis,5,M
1917,cyril,53,M
1917,dalton,10,M
1917,daniel,91,M
1917,david,317,M
1917,dean,5,M
1917,delbert,24,M
1917,denis,13,M
1917,dennis,14,M
1917,desmond,6,M
1917,domenico,6,M
1917,dominic,9,M
1917,dominick,8,M
1917,don,5,M
1917,donald,497,M
1917,douglas,279,M
1917,dudley,6,M
1917,duncan,38,M
1917,dwight,5,M
1917,earl,211,M
1917,earle,15,M
1917,earnest,23,M
1917,eddie,7,M
1917,edgar,68,M
1917,edmond,25,M
1917,edmund,29,M
1917,edward,428,M
1917,edwin,107,M
1917,eldon,23,M
1917,elgin,21,M
1917,elias,6,M
1917,elliott,8,M
1917,elmer,103,M
1917,elton,6,M
1917,elwood,13,M
1917,emanuel,7,M
1917,emerson,22,M
1917,emil,10,M
1917,emile,16,M
1917,eric,59,M
1917,erle,5,M
1917,ernest,284,M
1917,ervin,6,M
1917,erwin,5,M
1917,eugene,43,M
1917,everett,26,M
1917,ewart,6,M
1917,felix,11,M
1917,ferdinand,6,M
1917,fergus,6,M
1917,fernand,8,M
1917,floyd,33,M
1917,frances,22,M
1917,francesco,13,M
1917,francis,352,M
1917,francois,7,M
1917,frank,306,M
1917,franklin,37,M
1917,fred,55,M
1917,frederic,21,M
1917,frederick,450,M
1917,fredrick,42,M
1917,gabriel,6,M
1917,garfield,11,M
1917,garnet,42,M
1917,garnett,5,M
1917,george,1206,M
1917,gerald,148,M
1917,gerard,25,M
1917,gilbert,45,M
1917,gino,5,M
1917,giovanni,10,M
1917,glen,38,M
1917,glenn,15,M
1917,gorden,16,M
1917,gordon,508,M
1917,graham,14,M
1917,grant,25,M
1917,gregory,10,M
1917,grenville,6,M
1917,guiseppe,8,M
1917,gustave,6,M
1917,guy,14,M
1917,hamilton,7,M
1917,harley,12,M
1917,harold,579,M
1917,harry,357,M
1917,harvey,94,M
1917,harvie,5,M
1917,hector,32,M
1917,henri,13,M
1917,henry,278,M
1917,herbert,263,M
1917,herman,21,M
1917,hilliard,5,M
1917,hilton,9,M
1917,hiram,5,M
1917,homer,10,M
1917,horace,22,M
1917,howard,220,M
1917,hubert,58,M
1917,hugh,118,M
1917,hyman,11,M
1917,ian,21,M
1917,ira,18,M
1917,irvin,14,M
1917,irvine,8,M
1917,irving,10,M
1917,irwin,15,M
1917,isaac,21,M
1917,isidore,5,M
1917,israel,16,M
1917,ivan,59,M
1917,ivor,5,M
1917,j,1774,M
1917,jack,270,M
1917,jacob,30,M
1917,james,1213,M
1917,jean,50,M
1917,jeremiah,7,M
1917,jerome,19,M
1917,jesse,7,M
1917,joe,24,M
1917,john,2453,M
1917,joseph,426,M
1917,julian,5,M
1917,julius,11,M
1917,karl,16,M
1917,keith,33,M
1917,kenneth,357,M
1917,laurence,23,M
1917,laurent,11,M
1917,laverne,5,M
1917,lawrance,7,M
1917,lawrence,135,M
1917,lee,6,M
1917,lenard,15,M
1917,leo,131,M
1917,leon,27,M
1917,leonard,183,M
1917,leopold,7,M
1917,leroy,9,M
1917,leslie,108,M
1917,lester,19,M
1917,levi,6,M
1917,lewis,35,M
1917,lionel,27,M
1917,lloyd,403,M
1917,lorenzo,14,M
1917,lorne,91,M
1917,louie,5,M
1917,louis,136,M
1917,loyd,41,M
1917,loyde,8,M
1917,lucien,22,M
1917,luigi,8,M
1917,lyall,6,M
1917,lyle,21,M
1917,m,26,M
1917,malcolm,37,M
1917,malcom,6,M
1917,marcel,5,M
1917,mario,6,M
1917,mark,15,M
1917,marshall,16,M
1917,martin,43,M
1917,marvin,13,M
1917,mason,5,M
1917,mathew,7,M
1917,matthew,12,M
1917,maurice,81,M
1917,max,32,M
1917,maxwell,14,M
1917,melville,38,M
1917,melvin,54,M
1917,mervin,21,M
1917,mervyn,11,M
1917,michael,140,M
1917,micheal,8,M
1917,michele,5,M
1917,mike,28,M
1917,milford,7,M
1917,milton,55,M
1917,morley,32,M
1917,morris,56,M
1917,moses,16,M
1917,murray,80,M
1917,myer,7,M
1917,napoleon,12,M
1917,narcisse,5,M
1917,nathan,15,M
1917,neil,30,M
1917,nelson,54,M
1917,newton,6,M
1917,nicholas,26,M
1917,nick,15,M
1917,noel,5,M
1917,norbert,8,M
1917,norman,379,M
1917,normand,5,M
1917,norris,5,M
1917,norval,6,M
1917,olavi,6,M
1917,oliver,43,M
1917,omer,13,M
1917,oral,5,M
1917,orland,8,M
1917,orval,33,M
1917,orvil,8,M
1917,orville,30,M
1917,osborne,7,M
1917,oscar,44,M
1917,oswald,12,M
1917,otto,8,M
1917,ovila,8,M
1917,owen,11,M
1917,pasquale,8,M
1917,patrick,85,M
1917,paul,94,M
1917,percival,15,M
1917,percy,98,M
1917,perry,6,M
1917,pete,7,M
1917,peter,162,M
1917,philip,48,M
1917,philippe,6,M
1917,phillip,20,M
1917,pierre,15,M
