song_id,artist_id,song_genre,user_id,n_listen,publish_year
856,35,5,1552,7,2019
648,488,5,1283,0,2012
671,240,2,2556,3,2000
388,316,3,1909,8,2003
904,233,3,789,10,2019
977,374,1,921,12,2021
239,477,2,1122,7,2007
769,120,4,1804,15,2000
176,89,2,608,13,2009
105,404,3,2709,1,2002
396,319,1,2073,12,2006
241,498,3,1971,1,2011
285,98,4,2015,14,2021
491,327,4,508,0,2012
477,2,4,2386,7,2000
465,451,2,1060,9,2017
695,182,3,1696,1,2009
84,421,5,2905,12,2014
115,374,4,2497,11,2006
54,82,2,535,4,2021
437,399,4,193,12,2008
114,456,1,1887,5,2018
621,341,3,208,1,2008
839,111,5,2850,10,2008
254,31,5,1332,8,2018
61,66,2,742,6,2006
154,338,5,2704,3,2012
407,104,1,2899,7,2008
64,318,1,1570,0,2000
97,429,5,2320,8,2015
369,67,3,1327,7,2017
193,143,1,174,3,2000
450,44,1,1820,2,2019
158,386,5,853,12,2010
227,161,2,2516,12,2007
229,131,3,2280,15,2008
959,60,2,2707,7,2017
524,54,5,2790,13,2015
432,48,1,2541,0,2009
913,113,4,27,11,2006
785,492,4,984,9,2021
95,459,4,1933,7,2008
93,95,2,1578,2,2009
973,174,4,1178,8,2006
145,17,3,2506,9,2015
647,28,3,397,11,2007
337,115,4,2276,14,2018
829,344,4,890,13,2016
95,396,1,2863,14,2003
918,124,3,1846,12,2001
883,458,3,2395,15,2014
704,238,4,2679,13,2010
736,64,4,1854,6,2005
431,477,1,2072,7,2020
858,424,2,676,14,2021
892,445,1,887,7,2012
653,470,1,1330,13,2011
276,204,4,74,10,2020
407,28,3,1182,1,2001
674,202,2,2738,11,2008
71,65,3,1935,5,2017
564,255,2,2937,14,2012
161,23,4,1789,3,2019
870,480,4,148,3,2001
372,312,2,1377,8,2012
303,320,5,1965,4,2018
342,494,4,1845,15,2004
87,66,4,1649,0,2014
363,187,1,1274,11,2011
930,250,1,2773,7,2016
502,223,2,2470,7,2002
364,338,3,509,0,2011
233,364,5,2625,5,2019
486,439,5,1953,9,2010
264,316,1,2824,8,2004
628,280,1,460,3,2006
364,36,1,1078,13,2012
111,84,1,636,9,2009
708,230,2,2927,13,2012
503,416,4,101,12,2010
90,463,5,725,4,2005
950,164,5,2463,15,2013
12,417,1,1418,4,2006
99,46,2,973,15,2004
467,463,2,125,12,2009
539,222,4,664,14,2008
286,142,1,283,4,2004
756,466,3,1636,1,2016
264,322,3,1028,10,2014
468,83,2,1700,1,2017
492,425,2,2873,0,2012
22,99,1,1723,14,2016
543,190,4,628,9,2021
143,279,4,2181,12,2018
330,90,5,2045,5,2017
392,142,2,1480,12,2003
348,60,1,2226,10,2002
529,17,5,2809,15,2019
283,139,5,1873,6,2011
944,300,5,683,1,2010
453,20,5,1423,15,2010
768,221,1,1193,7,2013
910,409,4,2705,10,2014
494,169,4,569,5,2005
184,162,1,2103,0,2018
766,203,5,2694,7,2002
815,257,3,2582,3,2019
19,180,3,1367,15,2019
284,311,5,1339,5,2016
534,367,1,2980,13,2009
586,134,5,727,3,2017
831,66,1,1334,2,2001
561,279,3,996,11,2001
228,271,1,2551,3,2019
586,404,5,397,9,2010
762,293,1,1614,1,2012
495,60,5,1268,7,2002
454,131,5,2284,5,2000
425,251,5,2605,11,2002
652,487,3,2910,11,2009
970,96,1,981,3,2002
287,247,4,2000,4,2016
420,475,3,1175,2,2017
284,271,1,2722,11,2013
106,283,4,701,8,2008
527,319,3,1405,9,2018
160,2,5,1441,3,2020
212,474,1,1787,9,2007
641,120,1,1908,3,2021
414,118,1,1187,5,2011
691,218,1,1834,10,2010
943,125,2,991,5,2010
254,210,1,1284,13,2009
523,129,5,900,3,2006
897,281,4,1277,13,2012
33,394,3,1317,9,2018
537,465,2,849,1,2014
760,438,3,1979,2,2014
407,195,3,2663,12,2011
775,401,3,2723,15,2009
676,498,2,297,9,2002
283,173,2,1879,3,2006
573,396,4,745,15,2019
625,356,2,1779,11,2020
669,344,2,2700,11,2020
721,154,4,348,13,2016
683,460,4,1644,3,2015
70,15,1,1886,1,2003
103,220,2,1268,12,2001
747,447,1,2715,5,2020
686,450,1,1828,10,2012
875,225,1,870,15,2007
87,232,2,1031,10,2001
977,32,2,1958,12,2013
86,224,4,2920,14,2010
320,211,5,2399,15,2013
96,484,5,2807,5,2005
560,191,2,8,0,2007
174,170,2,2177,5,2007
734,96,2,251,7,2016
234,310,5,454,6,2010
804,311,5,2193,7,2014
380,218,5,221,10,2019
452,375,4,2860,3,2004
117,412,2,1287,3,2007
343,107,4,1414,2,2012
730,175,1,807,14,2012
346,71,1,782,11,2017
788,86,2,2360,11,2009
356,128,5,1289,9,2010
761,140,1,1540,3,2020
404,45,2,1100,0,2004
335,448,3,2631,2,2021
539,11,2,2722,5,2020
429,453,5,2951,4,2009
794,324,3,2125,3,2008
146,179,2,1761,6,2011
50,313,5,1313,12,2012
72,226,2,2420,8,2009
658,305,3,2105,12,2020
674,268,5,942,11,2017
895,458,5,1602,2,2007
187,88,2,1651,3,2017
212,353,3,2473,14,2020
86,110,4,2771,5,2017
818,287,4,2317,10,2013
159,287,2,2957,14,2016
889,364,2,427,5,2014
28,57,4,1331,1,2005
82,221,5,75,10,2002
333,455,5,188,4,2006
996,449,3,564,10,2019
629,190,1,1227,13,2004
989,432,5,2688,12,2003
469,470,4,842,6,2011
289,214,4,1139,1,2015
39,256,1,1328,13,2009
605,309,5,2192,13,2011
348,305,2,2792,1,2005
854,496,4,221,3,2014
272,178,1,774,2,2009
723,481,2,2424,3,2014
730,159,3,1542,11,2004
663,350,4,473,0,2013
580,188,3,1065,2,2002
778,360,2,2669,5,2009
113,160,4,1100,14,2018
532,277,3,561,0,2003
950,38,5,1561,6,2001
704,28,4,2243,15,2020
118,112,5,259,9,2013
446,295,2,2476,0,2003
504,441,5,1727,15,2007
670,236,2,2618,15,2005
354,115,2,2321,9,2010
608,377,1,661,6,2013
549,244,3,1757,15,2012
68,287,4,2158,10,2006
505,284,3,2994,5,2015
263,284,4,1771,6,2006
551,388,5,1799,1,2018
415,252,2,2293,13,2015
991,18,3,1367,5,2003
922,199,4,2051,6,2018
693,219,4,753,12,2020
474,97,1,1438,5,2006
59,489,3,1930,1,2014
680,243,2,903,7,2019
348,384,2,2164,13,2011
239,85,3,438,7,2004
278,131,1,1561,6,2009
134,394,4,1094,10,2003
528,487,3,2050,9,2004
689,390,1,253,6,2019
808,382,5,2055,15,2021
992,190,2,1920,1,2002
577,450,4,745,0,2005
990,450,5,2040,1,2012
933,383,5,1610,1,2000
681,152,5,1257,3,2018
576,32,5,341,9,2017
478,498,4,59,6,2010
839,382,5,657,0,2012
972,218,3,2454,11,2015
837,431,3,1110,6,2001
412,110,3,508,12,2009
678,174,3,1018,3,2005
380,48,4,2105,9,2021
362,208,4,2039,9,2002
264,197,3,2342,1,2013
996,308,3,2023,12,2008
329,359,4,196,6,2000
823,284,2,2428,4,2009
194,109,2,465,13,2010
533,286,5,741,11,2021
447,111,4,2773,2,2007
486,223,2,2249,10,2019
988,255,2,1729,8,2017
34,117,5,994,1,2019
220,79,5,1132,2,2016
114,157,3,1755,13,2018
706,160,4,2570,6,2001
746,168,2,1074,13,2007
185,154,2,2675,7,2005
7,239,5,2820,10,2013
682,267,5,1198,2,2020
972,460,2,1605,13,2003
369,272,1,1460,3,2006
915,28,1,944,2,2010
873,94,1,182,14,2005
480,373,2,192,13,2017
354,195,5,1603,13,2004
217,293,5,1284,12,2016
177,188,4,2613,8,2005
788,315,5,2089,12,2009
241,155,5,2270,3,2005
978,460,4,2759,0,2001
452,406,5,2471,6,2011
712,44,2,2126,3,2009
212,478,3,2454,14,2018
12,283,3,1059,9,2019
667,343,2,1216,9,2003
119,122,5,574,7,2008
63,467,3,633,8,2013
608,279,5,1271,11,2015
833,203,1,113,1,2007
837,218,3,1839,12,2012
696,208,5,2836,10,2001
290,399,3,1607,1,2013
496,229,1,241,5,2006
286,38,2,1591,13,2014
123,107,5,652,10,2002
657,33,2,899,4,2015
688,338,3,612,14,2001
153,314,2,1811,14,2015
453,123,4,2294,12,2011
