book_id,author_id,book_genre,reader_id,num_pages,book_rating,publisher_id,publish_year,book_price,text_lang
2609,345,7,1930,512,1,21,2017,2,3
1859,327,10,22945,378,1,5,2003,70,3
42,435,9,8684,425,4,23,2021,177,3
2882,286,2,26790,221,7,24,2015,16,2
2966,128,10,6179,503,7,42,2005,46,6
1445,17,3,9823,448,9,12,2020,149,4
2936,370,7,13087,654,2,13,2001,29,3
1384,242,10,13649,233,10,22,2021,5,5
1259,9,7,5419,609,5,22,2017,170,7
766,315,8,9767,218,10,41,2009,145,1
2538,198,3,20374,269,2,25,2013,45,1
1198,425,10,13812,677,6,31,2005,62,5
2949,410,1,15554,86,2,17,2012,199,6
1022,207,1,29431,222,9,33,2016,92,4
1993,252,3,27546,104,9,22,2015,197,6
1479,77,5,11442,127,10,23,2008,127,7
30,405,5,23832,410,1,6,2021,15,3
431,369,2,6522,187,9,8,2014,79,2
274,3,5,9821,349,8,14,2003,74,5
2675,439,3,26550,435,5,41,2015,176,6
1375,248,2,13087,261,6,27,2014,163,6
481,250,10,9922,696,4,48,2002,195,3
2036,163,4,6682,551,4,21,2021,93,3
2599,293,2,29755,241,9,43,2004,54,7
535,97,3,27016,396,4,23,2019,193,7
1478,448,4,13971,654,4,4,2021,63,4
1716,380,10,18774,101,8,35,2007,111,1
1576,25,2,16436,632,6,17,2017,62,5
1727,213,4,28771,662,9,4,2006,129,6
2671,214,10,13847,279,6,32,2009,158,3
2983,197,9,14162,530,7,42,2000,9,5
2707,158,9,7612,287,8,50,2020,54,6
616,76,8,4532,209,5,3,2006,17,7
1313,105,5,27946,562,4,14,2017,32,7
338,137,5,17101,554,1,6,2001,11,7
1974,198,3,678,135,5,5,2003,194,4
1812,254,8,12186,136,10,22,2000,140,5
2224,448,8,26213,539,2,24,2017,90,4
988,401,10,27608,334,5,19,2008,156,6
2046,301,4,28347,680,9,23,2006,12,2
1382,193,9,13096,124,5,50,2008,82,7
2700,374,7,6247,529,6,25,2007,87,5
247,313,4,13454,363,10,19,2021,168,1
432,106,7,9427,675,5,38,2021,116,1
2304,15,1,4522,135,8,29,2003,37,4
616,450,5,3249,207,6,31,2017,85,1
630,340,5,21096,224,10,2,2020,92,3
2224,242,4,19735,484,5,42,2021,48,4
1462,202,2,9799,410,8,10,2001,99,7
1907,343,6,22301,404,8,47,2015,180,5
2797,299,6,6237,126,10,33,2008,25,4
2023,50,9,9091,433,3,37,2021,145,5
232,237,5,6374,210,3,21,2020,116,7
230,336,1,13717,604,2,14,2007,182,6
1927,396,9,14637,299,8,49,2018,74,5
1312,252,1,21632,676,8,23,2006,103,2
1970,221,8,12448,626,3,44,2010,46,6
414,318,10,9276,225,8,28,2019,148,1
320,407,4,21979,313,8,37,2011,165,5
77,135,3,8680,248,10,23,2021,169,7
1708,401,2,20432,230,8,13,2011,48,4
521,207,10,23037,264,10,7,2000,109,5
2175,250,5,1712,234,4,39,2000,167,4
284,368,3,15393,325,5,32,2003,50,5
1617,36,4,25615,190,9,30,2017,180,7
2880,23,3,5694,368,1,30,2020,171,5
1027,310,7,10088,217,9,50,2002,200,3
1734,132,3,723,637,1,4,2002,148,2
10,348,1,28766,306,3,15,2013,17,6
234,255,8,20302,479,10,44,2000,32,6
773,46,1,15052,404,7,39,2014,177,4
1284,431,4,21012,505,9,7,2000,114,6
2223,273,1,15251,347,6,28,2010,42,1
734,201,10,13025,683,10,16,2010,38,1
2071,269,1,29933,645,3,24,2021,77,1
1803,339,9,21536,254,3,3,2003,55,5
983,38,9,19849,140,4,50,2009,54,2
1424,433,9,24678,598,6,30,2012,145,5
1486,429,10,20716,337,2,18,2011,163,2
493,425,1,26092,603,10,40,2004,76,3
869,162,3,6278,374,2,15,2021,96,7
2767,359,5,8879,442,1,40,2018,192,6
1348,380,1,1893,75,2,8,2020,186,1
2290,353,10,10817,568,4,50,2009,61,6
208,103,10,17322,521,8,47,2013,97,2
176,54,2,17852,683,10,20,2003,128,3
2964,153,9,22630,453,7,6,2013,139,6
867,74,1,19108,115,2,37,2011,98,3
859,302,8,6262,423,9,24,2014,40,6
2383,245,5,26777,267,1,32,2003,38,5
245,395,6,5377,599,8,18,2014,178,3
2808,94,10,20964,700,6,7,2001,168,7
2622,276,1,10287,686,4,22,2020,25,7
726,37,5,12757,657,6,5,2011,200,5
2734,227,10,24900,382,6,17,2018,72,2
952,399,6,29246,416,2,10,2001,184,2
2185,428,4,22969,323,6,46,2021,137,2
575,210,2,25736,283,4,24,2008,104,3
1238,405,9,14378,661,8,18,2008,169,1
570,263,4,16817,571,1,37,2017,155,4
1372,443,1,15122,320,6,11,2006,40,2
2841,122,3,1949,381,8,36,2013,18,3
666,110,8,27739,618,1,22,2021,139,5
1863,115,10,12718,590,6,41,2011,21,2
1080,161,1,7047,545,9,28,2002,193,1
14,63,4,17036,666,6,38,2019,32,1
832,166,6,20817,166,10,8,2018,136,3
1991,186,4,16150,299,2,44,2019,116,3
1176,414,3,7564,458,10,39,2007,131,6
2239,81,7,9136,344,7,11,2019,155,2
2745,147,3,29848,216,9,10,2012,118,4
1066,356,6,13174,453,5,16,2000,17,6
2499,383,9,7849,329,1,24,2011,6,4
216,370,10,3023,255,4,8,2000,124,6
2527,66,7,28858,359,8,40,2017,167,3
1405,78,6,830,187,2,3,2010,83,6
1531,230,4,19113,590,6,22,2009,58,5
131,36,4,16118,646,10,22,2004,27,5
2084,255,3,273,500,8,18,2017,7,1
2198,150,10,17467,316,1,4,2005,47,3
2567,92,1,6490,293,9,48,2001,177,3
2765,412,1,7757,98,5,27,2017,175,1
1640,153,7,943,153,10,44,2008,24,2
2370,428,4,1181,599,8,34,2003,111,7
382,109,10,8105,319,5,41,2014,109,4
2825,345,2,10663,385,10,26,2017,16,6
72,187,6,16809,445,9,40,2021,200,3
708,271,9,23064,147,3,39,2001,7,3
2517,239,9,13646,408,2,27,2012,32,5
131,252,10,26611,355,4,3,2011,123,1
110,9,5,10098,486,8,41,2019,88,4
1658,184,3,6746,417,3,34,2021,106,4
2171,149,2,14526,355,5,46,2011,70,3
2499,176,1,16381,685,3,14,2003,25,3
2490,346,7,16707,506,10,14,2008,83,7
63,223,6,643,601,1,22,2019,107,6
1297,205,10,26347,180,2,13,2009,48,1
2577,57,5,14344,625,7,34,2015,100,7
1422,196,8,2943,623,2,14,2013,147,4
2368,424,10,5376,506,9,48,2006,194,7
1851,167,4,10295,270,4,8,2017,4,1
1683,165,3,22406,93,10,9,2000,167,4
384,302,3,27802,128,8,19,2017,94,7
1139,409,10,27200,585,6,46,2011,85,7
2355,43,9,6731,458,6,14,2008,66,5
2982,272,6,4386,565,3,23,2000,110,1
1065,318,9,13181,388,9,2,2021,68,7
1790,70,5,21348,629,6,12,2007,139,1
1492,129,7,13168,498,9,26,2014,184,6
230,222,5,17599,452,10,49,2003,200,3
2596,15,9,14467,173,3,15,2020,99,1
2606,60,3,26109,632,2,10,2019,78,7
1066,439,8,232,402,4,37,2001,82,3
466,220,10,8714,421,7,36,2010,127,5
73,358,8,28189,470,1,20,2014,37,6
440,16,5,2113,109,10,15,2010,3,7
1059,420,6,12647,293,7,31,2012,147,1
1356,122,8,25917,536,4,49,2001,36,2
1384,37,5,5360,511,9,41,2002,17,7
2880,431,5,10778,298,3,27,2021,71,5
2950,176,10,13480,524,9,3,2017,126,5
2264,25,7,13906,392,1,22,2010,153,1
1860,297,7,25053,522,9,33,2005,155,5
2277,150,1,24553,653,2,17,2007,190,2
466,90,7,22445,136,9,43,2000,109,3
1754,376,4,17996,417,7,29,2014,145,7
1850,157,5,13547,290,2,15,2012,50,2
97,359,10,17054,634,5,35,2019,185,7
1144,357,4,2159,654,6,14,2005,156,5
2350,256,8,6718,685,1,41,2006,85,4
1787,112,3,3359,80,6,15,2018,107,7
2367,37,7,12339,94,4,16,2016,31,4
495,396,2,21676,85,5,9,2004,135,6
1673,280,3,18621,443,2,25,2009,2,3
1856,49,7,5046,344,3,4,2020,137,4
584,437,10,20862,555,4,9,2020,111,6
1714,415,2,19807,217,6,13,2006,84,6
1581,397,2,20175,460,2,28,2016,67,2
2216,114,2,12484,677,3,14,2011,100,7
817,101,10,26217,535,3,30,2001,85,7
2460,316,3,14944,242,10,14,2018,20,7
50,154,10,15884,390,9,49,2014,180,4
550,119,5,3358,678,10,6,2014,66,7
1555,440,5,26761,342,9,35,2017,160,7
1958,419,7,23511,195,8,45,2014,30,6
331,436,6,6753,418,9,38,2016,98,4
2631,333,3,8070,293,1,33,2009,193,1
1684,314,4,9521,402,4,17,2002,194,3
1268,161,9,7227,374,3,9,2000,149,6
2583,293,2,28473,241,1,13,2018,56,2
1695,380,7,1685,300,8,15,2007,29,3
934,139,10,23860,291,2,28,2001,174,2
2739,170,4,15790,548,8,38,2006,168,2
2769,371,7,28571,290,8,33,2020,200,7
1347,357,8,26946,444,3,26,2018,136,2
65,4,2,7643,100,8,39,2014,112,4
1457,175,5,22012,377,8,25,2021,26,7
1785,377,2,25939,520,10,18,2020,120,1
473,159,8,2273,219,1,36,2004,141,5
2362,288,1,15395,220,4,33,2018,1,1
2205,444,10,8218,88,5,27,2020,37,4
2160,230,5,10129,180,4,10,2009,190,6
1645,2,9,1569,205,8,20,2000,182,3
2572,163,7,15216,597,9,18,2014,169,5
2701,448,7,24973,634,9,20,2001,90,6
2124,324,3,21800,249,2,18,2017,90,1
990,83,5,3737,658,6,29,2019,175,1
1545,438,10,26318,365,2,41,2013,94,5
2536,315,3,28648,475,4,21,2015,167,7
2122,243,6,6357,277,3,33,2007,149,6
1845,306,5,18358,289,10,36,2008,180,2
2477,21,10,23873,414,6,5,2009,174,6
77,374,9,13967,608,8,31,2017,110,7
202,169,7,26962,198,2,29,2015,154,3
2289,59,9,22506,139,4,30,2013,131,1
1531,63,7,14610,616,8,1,2018,85,5
2422,340,5,27078,628,10,35,2008,13,2
2413,67,2,2495,356,7,33,2011,65,1
2754,17,2,24915,425,9,16,2004,2,2
2358,408,2,13368,441,3,48,2014,199,7
392,341,7,28445,376,10,39,2006,62,2
1067,401,6,161,654,5,35,2014,156,7
1797,389,9,19677,578,8,35,2007,135,7
980,262,9,28489,518,6,48,2021,8,6
1309,275,10,26003,514,7,4,2002,142,4
2911,241,5,16426,346,8,19,2018,37,3
2414,310,2,28926,271,1,37,2018,13,1
2801,342,5,1334,404,9,43,2019,80,3
2758,333,8,1822,147,10,3,2011,16,6
650,118,7,24520,195,3,32,2017,66,4
985,179,3,28425,631,3,31,2007,98,3
1518,17,3,12238,235,8,4,2008,160,3
790,170,1,1093,364,4,39,2007,16,2
1475,330,1,16793,657,6,38,2018,118,4
1759,295,10,20795,668,1,2,2002,50,1
803,195,10,24617,471,8,5,2019,81,3
54,185,7,27967,131,4,22,2003,129,2
599,199,9,23438,222,1,35,2016,89,6
1820,60,8,18846,326,9,8,2012,14,7
2795,152,10,8317,509,1,36,2019,177,1
2246,210,5,10618,332,6,40,2009,25,2
2164,373,7,12353,458,5,5,2018,55,1
2606,433,9,5580,458,1,35,2015,31,4
1232,183,9,10644,606,1,22,2021,43,1
14,314,6,24439,428,6,9,2006,188,5
1735,228,1,16884,119,5,20,2012,118,7
2049,349,8,11509,542,3,42,2001,80,7
804,135,8,5956,689,1,43,2021,195,1
1875,40,3,22796,394,5,37,2002,123,3
1115,262,5,19191,286,10,45,2021,43,1
1724,258,6,26149,407,1,34,2000,196,5
2195,225,6,6055,346,5,7,2008,87,1
121,391,9,24347,552,7,15,2014,104,5
2910,199,5,24989,445,9,48,2015,162,1
1240,405,7,24521,472,10,35,2018,90,4
1373,124,10,19476,540,1,12,2019,188,3
490,180,2,20997,591,4,40,2020,135,7
139,187,2,16478,499,2,31,2007,193,6
251,96,1,26104,698,6,46,2016,184,3
1344,94,5,5807,601,10,32,2019,150,6
269,321,3,14845,275,1,49,2013,35,1
577,196,10,7102,587,1,8,2013,19,1
1479,411,2,6063,304,5,28,2010,57,7
409,203,2,11291,311,6,5,2010,112,4
820,119,2,27255,179,9,12,2017,195,2
512,170,8,19948,627,1,25,2017,114,1
334,97,5,5031,207,2,29,2009,70,1
691,117,2,23222,485,4,48,2015,139,4
918,23,3,15189,111,6,1,2016,38,3
2983,79,4,16705,470,5,43,2017,122,3
214,251,1,15598,678,3,15,2017,5,1
2918,212,8,4188,588,9,13,2004,74,5
1526,367,4,14099,648,10,2,2011,41,2
2303,139,1,5038,199,3,42,2021,135,1
994,116,1,24718,147,1,31,2005,62,2
181,368,4,31,447,1,48,2012,13,5
247,290,1,16694,366,10,11,2001,33,2
1368,71,2,4080,279,5,13,2020,173,1
2337,255,3,808,330,8,44,2015,135,2
2582,339,7,24500,359,3,38,2016,149,6
239,340,3,20855,347,1,35,2019,30,3
1283,24,7,16801,664,5,15,2015,59,3
2118,86,8,20077,425,8,5,2002,15,3
1086,416,6,4283,156,3,1,2006,156,4
2460,373,6,20392,649,5,15,2021,55,7
2476,73,1,1215,371,3,38,2001,52,6
1504,298,8,13444,171,8,29,2018,49,1
2408,125,2,27458,617,1,19,2001,119,5
1717,139,4,5271,477,5,18,2003,60,7
1554,315,7,14822,670,2,50,2013,9,5
1850,381,9,26449,406,9,1,2011,175,6
70,434,8,22444,357,10,12,2007,18,4
442,288,10,57,188,4,30,2020,165,5
2230,170,8,23321,174,3,47,2020,169,1
1245,73,5,15253,699,2,43,2004,91,2
2267,185,7,4039,245,10,38,2016,115,2
2116,13,2,8671,373,6,23,2005,27,2
155,423,4,16930,456,4,11,2010,74,2
1106,80,7,19052,414,1,1,2007,16,4
1922,384,9,2756,224,3,4,2020,9,1
461,133,7,28293,525,3,27,2008,182,7
820,118,6,2194,634,1,32,2019,173,3
562,225,9,956,268,2,19,2021,186,1
398,113,4,21489,222,6,34,2014,26,3
2760,159,6,25146,640,3,11,2010,53,2
268,169,5,17977,345,3,31,2019,13,1
1558,131,7,11956,477,8,14,2005,54,6
2483,309,5,8103,181,10,11,2013,55,4
2198,372,4,1712,406,10,13,2005,45,3
497,115,1,24863,537,3,44,2020,26,5
1874,187,3,26316,304,2,45,2003,188,4
790,59,10,22288,212,3,43,2018,173,1
857,137,2,18629,636,8,40,2019,27,6
918,416,1,7616,590,1,3,2013,86,4
2615,322,3,23102,326,5,37,2010,83,2
1461,313,9,7299,437,3,34,2000,84,7
2332,130,3,6293,98,8,8,2002,50,1
2585,351,10,12018,392,5,24,2002,104,1
